R1009B50E	1 MNXM322@MNXC19 <==> 1 MNXM322@MNXC2	R_THMtex	MNXR104831			rhea:34919;rhea:34920;rhea:34921;rhea:34922;bigg:THMtex;bigg:THMtrbc;deprecated:MNXR55948;reactome:R-BTA-199626;reactome:R-CEL-199626;reactome:R-CFA-199626;reactome:R-DDI-199626;reactome:R-DME-199626;reactome:R-DRE-199626;reactome:R-GGA-199626;reactome:R-HSA-199626;reactome:R-MMU-199626;reactome:R-RNO-199626;reactome:R-SSC-199626;reactome:R-TGU-199626;reactome:R-XTR-199626;seed:rxn09300;seed:rxn11006
R10722479	1 MNXM821@MNXC2 --> 1 MNXM821@BOUNDARY	R_EX_ppal_e	MNXR98858			bigg:EX_ppal_e
R10781F33	1 MNXM01@MNXC19 + 1 MNXM90703@MNXC2 --> 1 MNXM01@MNXC3 + 1 MNXM90703@MNXC19	R_ADOCBLtonex	MNXR95472			bigg:ADOCBLtonex;deprecated:MNXR499;deprecated:MNXR81565;seed:rxn08071
R107F1065	1 MNXM1@MNXC3 + 1 MNXM10@MNXC3 + 1 MNXM114283@MNXC3 --> 1 MNXM341@MNXC3 + 1 MNXM8@MNXC3	R_2DGULRGx	MNXR94785			bigg:2DGULRGx;deprecated:MNXR81341
R1080E900	1 MNXM192@MNXC19 <==> 1 MNXM192@MNXC2	R_ABUTtex	MNXR94993			rhea:35035;rhea:35036;rhea:35037;rhea:35038;bigg:4ABUTtcn;bigg:4ABUTth;bigg:4ABUTtm;bigg:ABUTtex;deprecated:MNXR224;reactome:R-ATH-888592;reactome:R-BTA-888592;reactome:R-CEL-888592;reactome:R-CFA-888592;reactome:R-DME-888592;reactome:R-DRE-888592;reactome:R-GGA-888592;reactome:R-HSA-888592;reactome:R-MMU-888592;reactome:R-OSA-888592;reactome:R-RNO-888592;reactome:R-SCE-888592;reactome:R-SSC-888592;reactome:R-TGU-888592;reactome:R-XTR-888592;sabiork:13098;seed:rxn08028;seed:rxn09795;seed:rxn11326
R10941DF5	1 MNXM1624@MNXC19 <==> 1 MNXM1624@MNXC2	R_MANGLYCtex	MNXR101395			bigg:MANGLYCtex;deprecated:MNXR3426;seed:rxn08883
R10952ECA	1 MNXM212@MNXC19 <==> 1 MNXM212@MNXC2	R_ADNtex	MNXR95460			bigg:ADNt;bigg:ADNtex;bigg:ADNtl;bigg:ADNtm;deprecated:MNXR490;seed:rxn08069;seed:rxn11000
R10A77C5A	1 MNXM1@MNXC3 + 1 MNXM7@MNXC3 + 1 MNXM790@MNXC3 <-- 1 MNXM3@MNXC3 + 1 MNXM874@MNXC3	R_HMPK1	MNXR100664	2.7.1.49	kegg:Metabolic pathways;kegg:Thiamine metabolism;metacyc:hydroxymethylpyrimidine salvage;metacyc:thiamine formation from pyrithiamine and oxythiamine (yeast);metacyc:thiamine salvage IV (yeast);seed:Thiamin_biosynthesis;seed:Thiamin_biosynthesis/AIR_to_HydroxymethylpyrimidinePP;seed:Thiamin_biosynthesis/HydroxymethylpyrimidinePP_to_ThiaminPP	rhea:23096;rhea:23097;rhea:23098;rhea:23099;bigg:HMPK1;deprecated:MNXR2985;kegg:R03471;metacyc:OHMETPYRKIN-RXN;sabiork:3265;seed:rxn02484
R10AB5DD4	1 MNXM13@MNXC3 + 1 MNXM25602@MNXC3 + 1 MNXM925@MNXC3 <-- 1 MNXM1@MNXC3 + 1 MNXM184@MNXC3 + 1 MNXM2645@MNXC3	R_3OAS60	MNXR109245	2.3.1.-;2.3.1.179;2.3.1.180;2.3.1.41;2.3.1.85;2.3.1.86	kegg:Fatty acid biosynthesis;kegg:Fatty acid metabolism;kegg:Metabolic pathways;metacyc:octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast);metacyc:palmitate biosynthesis II (bacteria and plants);seed:Fatty_Acid_Biosynthesis_FASII;seed:Fatty_Acid_Biosynthesis_FASII/AcetylCoA_to_MalonylCoA	deprecated:MNXR36125;deprecated:MNXR37880;deprecated:MNXR68198;deprecated:MNXR81385;kegg:R04952;metacyc:RXN-9516;sabiork:4590;seed:rxn05346
R10D9B803	1 MNXM1@MNXC19 + 1 MNXM314@MNXC19 + 1 MNXM34809@MNXC19 <-- 1 MNXM2@MNXC19 + 1 MNXM2859@MNXC19	R_PLIPA1E140pp				
R10DA26CA	1 MNXM11@MNXC3 + 1 MNXM1489@MNXC3 <-- 1 MNXM188@MNXC3 + 1 MNXM91@MNXC3	R_ANPRT	MNXR95842	2.4.2.18	kegg:Biosynthesis of amino acids;kegg:Biosynthesis of antibiotics;kegg:Biosynthesis of secondary metabolites;kegg:Metabolic pathways;kegg:Phenylalanine, tyrosine and tryptophan biosynthesis;metacyc:L-tryptophan biosynthesis;seed:Tryptophan_synthesis;seed:Tryptophan_synthesis/Chorismate_to_Tryptophan	rhea:11768;rhea:11769;rhea:11770;rhea:11771;bigg:ANPRT;bigg:ANTPPT;deprecated:MNXR55047;deprecated:MNXR68365;kegg:R01073;metacyc:PRTRANS-RXN;seed:rxn00791
R11308286	1 MNXM142@MNXC19 <==> 1 MNXM142@MNXC2	R_THRtex	MNXR104852			rhea:35019;rhea:35020;rhea:35021;rhea:35022;bigg:THRtex;bigg:r2534;bigg:thr_mt;deprecated:MNXR5069;sabiork:13464;seed:rxn09307;seed:rxn10898;seed:rxn13117
R114DB993	1 MNXM3148@MNXC19 <==> 1 MNXM3148@MNXC2	R_23CCMPtex	MNXR94720			bigg:23CCMPtex;deprecated:MNXR29;seed:rxn07926
R116941BB	1 MNXM2@MNXC3 + 1 MNXM5960@MNXC3 <-- 1 MNXM5390@MNXC3	R_3HAD141	MNXR94880	4.2.1.61		bigg:3HAD141;deprecated:MNXR68171;seed:rxn07977
R11712DFE	1 MNXM37330@MNXC2 --> 1 MNXM37330@BOUNDARY	R_EX_acolipa_e	MNXR98223			bigg:EX_acolipa_e
R11895B3D	1 MNXM11@MNXC3 + 1 MNXM1351@MNXC3 <-- 1 MNXM3@MNXC3 + 1 MNXM91@MNXC3	R_ATPPRT	MNXR96132	2.4.2.17	kegg:Biosynthesis of amino acids;kegg:Biosynthesis of secondary metabolites;kegg:Histidine metabolism;kegg:Metabolic pathways;metacyc:L-histidine biosynthesis;seed:Histidine_Biosynthesis;seed:Histidine_Biosynthesis/PRPP_to_Histidine_and_AICAR;seed:XXBOB	rhea:18473;rhea:18474;rhea:18475;rhea:18476;bigg:ATPPRT;deprecated:MNXR55088;deprecated:MNXR68424;kegg:R01071;metacyc:ATPPHOSPHORIBOSYLTRANS-RXN;seed:rxn00789
R11CAE0A7	1 MNXM1@MNXC3 + 1 MNXM31@MNXC3 + 1 MNXM5266@MNXC3 <-- 1 MNXM4507@MNXC3 + 1 MNXM66@MNXC3	R_PGSA120	MNXR102589	2.7.8.5		bigg:PGSA120;deprecated:MNXR4221
R11DC53E4	1 MNXM6016@MNXC2 --> 1 MNXM6016@BOUNDARY	R_EX_lipa_cold_e	MNXR98712			bigg:EX_lipa_cold_e
R11EB52FD	1 MNXM3568@MNXC2 --> 1 MNXM3568@BOUNDARY	R_EX_cu_e	MNXR98385			bigg:EX_cu_e
R12059CEF	1 MNXM26@MNXC19 + 1 MNXM27@MNXC19 --> 1 MNXM26@MNXC3 + 1 MNXM27@MNXC3	R_ACt4pp	MNXR95430			bigg:ACt4pp;bigg:r0881;deprecated:MNXR464;seed:rxn08062
R120D7BDE	1 MNXM3455@MNXC19 --> 1 MNXM3455@MNXC3	R_2AGPG181tipp	MNXR94770			bigg:2AGPG181tipp;deprecated:MNXR75
R121989DB	1 MNXM1@MNXC3 + 1 MNXM125@MNXC3 + 1 MNXM7@MNXC3 <-- 1 MNXM3@MNXC3 + 1 MNXM334@MNXC3	R_INSK	MNXR100845	2.7.1.73	kegg:Purine metabolism;metacyc:adenine and adenosine salvage V;seed:Purine_conversions;seed:Purine_conversions/AMP_to_ADP;seed:Purine_conversions/Adenine_to_AMP;seed:Purine_conversions/GDP_to_GTP;seed:Purine_conversions/GMP_to_GDP;seed:Purine_conversions/GMP_to_Guanine;seed:Purine_conversions/IMP_to_AMP;seed:Purine_conversions/IMP_to_Hypoxanthine;seed:Purine_conversions/dADP_to_dAMP;seed:Purine_conversions/dGDP_to_dGMP	rhea:21140;rhea:21141;rhea:21142;rhea:21143;bigg:INSK;bigg:INSKm;deprecated:MNXR3111;kegg:R01131;metacyc:INOSINEKIN-RXN;seed:rxn00835
R122ED981	1 MNXM1@MNXC3 + 1 MNXM32180@MNXC19 + 1 MNXM7@MNXC3 + 1 MNXM9@MNXC3 <-- 1 MNXM2@MNXC3 + 1 MNXM3@MNXC3 + 1 MNXM32180@MNXC3	R_PGP160abcpp	MNXR102553			bigg:PGP160abcpp;deprecated:MNXR4200;deprecated:MNXR69676;seed:rxn09097
R1264A552	1 MNXM1@MNXC19 + 1 MNXM162245@MNXC19 + 1 MNXM598@MNXC19 <-- 1 MNXM2@MNXC19 + 1 MNXM6606@MNXC19	R_LPLIPAL1G161pp				
