Product Name,Genes,Component coefficients,Gene products (polypeptides and RNAs only),,,
"1,4-dihydroxy-2-naphthoyl-CoA hydrolase",menI,TUPLE // G6912-MONOMER // 4,"1,4-dihydroxy-2-naphthoyl-CoA hydrolase",,,
"1,4-dihydroxy-2-naphthoyl-CoA synthase",menB,TUPLE // NAPHTHOATE-SYN-MONOMER // 6,"1,4-dihydroxy-2-naphthoyl-CoA synthase",,,
1-deoxy-D-xylulose 5-phosphate reductoisomerase,dxr,TUPLE // DXPREDISOM-MONOMER // 2,1-deoxy-D-xylulose 5-phosphate reductoisomerase,,,
1-deoxy-D-xylulose-5-phosphate synthase,dxs,TUPLE // DXS-MONOMER // 2,1-deoxy-D-xylulose-5-phosphate synthase,,,
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,ispH,TUPLE // EG11081-MONOMER // 2,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,,,
1-phosphofructokinase,fruK,TUPLE // 1-PFK-MONOMER // 2,1-phosphofructokinase,,,
16S rRNA 2'-<i>O</i>-ribose C1402 methyltransferase,rsmI,TUPLE // G7641-MONOMER // 2,16S rRNA 2'-<i>O</i>-ribose C1402 methyltransferase,,,
16S rRNA m<sup>3</sup>U1498 methyltransferase,rsmE,TUPLE // EG12366-MONOMER // 2,16S rRNA m<sup>3</sup>U1498 methyltransferase,,,
16S rRNA m<sup>4</sup>C1402 methyltransferase,rsmH,TUPLE // EG11085-MONOMER // 2,16S rRNA m<sup>4</sup>C1402 methyltransferase,,,
"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",gpmA,TUPLE // GPMA-MONOMER // 2,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",,,
"2,3-diaminopropionate ammonia-lyase",ygeX,TUPLE // G7490-MONOMER // 2,"2,3-diaminopropionate ammonia-lyase",,,
"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",entA,TUPLE // ENTA-MONOMER // 4,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",,,
"2,3-dihydroxybenzoate-AMP ligase",entE,TUPLE // ENTE-MONOMER // 2,"2,3-dihydroxybenzoate-AMP ligase",,,
"2,3-dihydroxybenzoyl-EntB",entB,TUPLE // HOLO-ENTB // 2,"<i>holo</i> EntB"" // ""enterobactin synthase component B",,,
"2,3-diketo-L-gulonate reductase",yiaK,TUPLE // EG12279-MONOMER // 2,"2,3-diketo-L-gulonate reductase",,,
"2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - periplasmic binding protein"" // ""2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit"" // ""2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit","yiaM"" // ""yiaN"" // ""yiaO",TUPLE // MONOMER0-422 // 1 // TUPLE // EG12282-MONOMER // 1 // TUPLE // EG12283-MONOMER // 1,"2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit"" // ""2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit"" // ""2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - periplasmic binding protein",,,
2-amino-3-ketobutyrate CoA ligase,kbl,TUPLE // AKBLIG-MONOMER // 2,2-amino-3-ketobutyrate CoA ligase,,,
"2-<i>C</i>-methyl-D-erythritol 2,4-cyclodiphosphate synthase",ispF,TUPLE // EG11816-MONOMER // 3,"2-<i>C</i>-methyl-D-erythritol 2,4-cyclodiphosphate synthase",,,
2-hydroxy-6-oxononatrienedioate hydrolase,mhpC,TUPLE // MHPCHYDROL-MONOMER // 2,"2-hydroxy-6-ketonona-2,4-dienedioate hydrolase",,,
