Gene	SP	b#	
alr	P0A6B4	b4053
modB	P0AF01	b0764
cysZ	P0A6J3	b2413
dfp	P0ABQ0	b3639
fruB	P69811	b2169
dcuB	P0ABN9	b4123
hisM	P0AEU3	b2307
zraS	P14377	b4003
icdC'	P08200	b4519
rhsE'	P24211	b1456
yaaA	P0A8I3	b0006
cydC	P23886	b0886
mepM	P0AFS9	b1856
acrD	P24177	b2470
rodZ	P27434	b2516
garL	P23522	b3126
ispB	P0AD57	b3187
csrD	P13518	b3252
cpxR	P0AE88	b3912
yjiA	P24203	b4352
aceA	P0A9G6	b4015
aceB	P08997	b4014
aceE	P0AFG8	b0114
aceF	P06959	b0115
aceK	P11071	b4016
ackA	P0A6A3	b2296
pflA	P0A9N4	b0902
ada	P06134	b2213
add	P22333	b1623
adhE	P0A9Q7	b1241
adk	P69441	b0474
agp	P19926	b1002
alaS	P00957	b2697
aldA	P25553	b1415
puuC	P23883	b1300
alkB	P05050	b2212
amn	P0AE12	b1982
ampC	P00811	b4150
ampD	P13016	b0110
ampE	P0AE14	b0111
cysQ	P22255	b4214
osmE	P0ADB1	b1739
ansA	P0A962	b1767
ansB	P00805	b2957
apaG	P62672	b0050
apaH	P05637	b0049
appA	P07102	b0980
appY	P05052	b0564
apt	P69503	b0469
araA	P08202	b0062
araB	P08204	b0063
araC	P0A9E0	b0064
araD	P08203	b0061
araE	P0AE24	b2841
araF	P02924	b1901
araG	P0AAF3	b1900
araH	P0AE26	b4460
araJ	P23910	b0396
arcA	P0A9Q1	b4401
arcB	P0AEC3	b3210
argA	P0A6C5	b2818
argB	P0A6C8	b3959
argC	P11446	b3958
argD	P18335	b3359
argF	P06960	b0273
argG	P0A6E4	b3172
argI	P04391	b4254
argR	P0A6D0	b3237
argS	P11875	b1876
argT	P09551	b2310
aroA	P0A6D3	b0908
aroB	P07639	b3389
aroC	P12008	b2329
aroD	P05194	b1693
aroE	P15770	b3281
aroF	P00888	b2601
aroG	P0AB91	b0754
aroH	P00887	b1704
aroK	P0A6D7	b3390
aroL	P0A6E1	b0388
aroM	P0AE28	b0390
aroP	P15993	b0112
ascB	P24240	b2716
ascF	P24241	b2715
ascG	P24242	b2714
asd	P0A9Q9	b3433
aslA	P25549	b3801
aslB	P25550	b3800
asnA	P00963	b3744
asnB	P22106	b0674
asnC	P0ACI6	b3743
asnS	P0A8M0	b0930
aspA	P0AC38	b4139
aspC	P00509	b0928
aspS	P21889	b1866
atpA	P0ABB0	b3734
atpB	P0AB98	b3738
atpC	P0A6E6	b3731
atpD	P0ABB4	b3732
atpE	P68699	b3737
atpF	P0ABA0	b3736
atpG	P0ABA6	b3733
atpH	P0ABA4	b3735
atpI	P0ABC0	b3739
avtA	P09053	b3572
bcp	P0AE52	b2480
betA	P17444	b0311
betB	P17445	b0312
betI	P17446	b0313
betT	P0ABC9	b0314
bfr	P0ABD3	b3336
bglB	P11988	b3721
bglF	P08722	b3722
bglG	P11989	b3723
bioA	P12995	b0774
bioB	P12996	b0775
