"Genes"	"Synonyms"	"Accession-1"	"Accession-2"	"Names"	"Object ID"
"TY1B-LR4"	"YLRWTy1-4 POL"	"YLR256W-B"	"YLR256W-C"	"TY1B-LR4" // "YLRWTy1-4 POL" // "YLR256W-B" // "YLR256W-C"	"G3O-42696"
"DPH7"	"G3O-5" // "RRT2" // "ERE1"	"YBR246W"	"YBR1634"	"DPH7" // "G3O-5" // "RRT2" // "ERE1" // "YBR246W" // "YBR1634"	"G-34532"
"TRM4"	"NCL1"	"YBL024W"	"YBL0437"	"TRM4" // "NCL1" // "YBL024W" // "YBL0437"	"G3O-28927"
"DPH5"		"YLR172C"	"L9470.17"	"DPH5" // "YLR172C" // "L9470.17"	"G-11958"
"15S_RRNA"		"15S_rRNA"		"15S_RRNA" // "15S_rRNA"	"G3O-34387"
"21S_RRNA"		"21S_rRNA"		"21S_RRNA" // "21S_rRNA"	"G3O-34388"
"AAC1"		"YMR056C"		"AAC1" // "YMR056C"	"G3O-32761"
"AAC3"		"YBR085W"		"AAC3" // "YBR085W"	"G3O-29052"
"AAD10"		"AAD10"		"AAD10" // "AAD10"	"YJR155W"
"AAD14"		"AAD14"		"AAD14" // "AAD14"	"YNL331C"
"AAD15"		"AAD15"		"AAD15" // "AAD15"	"YOL165C"
"AAD16"		"YFL057C"		"AAD16" // "YFL057C"	"G3O-30410"
"AAD3"		"AAD3"		"AAD3" // "AAD3"	"YCR107W"
"AAD4"		"AAD4"		"AAD4" // "AAD4"	"YDL243C"
"AAD6"		"AAD6"		"AAD6" // "AAD6"	"YFL056C"
"AAE3"	"PCS60"	"YBR222C"		"AAE3" // "PCS60" // "YBR222C"	"G3O-29157"
"AAH1"		"AAH1"		"AAH1" // "AAH1"	"YNL141W"
"AAP1"		"YHR047C"		"AAP1" // "YHR047C"	"G3O-31102"
"AAR2"		"YBL074C"		"AAR2" // "YBL074C"	"G3O-28966"
"AAT1"		"AAT1"		"AAT1" // "AAT1"	"YKL106W"
"AAT2"	"ASP5"	"AAT2"		"AAT2" // "ASP5" // "AAT2"	"YLR027C"
"ABD1"		"YBR236C"		"ABD1" // "YBR236C"	"G3O-29167"
"ABF1"		"YKL112W"		"ABF1" // "YKL112W"	"G3O-31897"
"ABF2"		"YMR072W"		"ABF2" // "YMR072W"	"G3O-32774"
"ABM1"		"YJR108W"		"ABM1" // "YJR108W"	"G3O-31732"
"ABP1"		"YCR088W"		"ABP1" // "YCR088W"	"G3O-29382"
"ABP140"		"YOR239W"		"ABP140" // "YOR239W"	"G3O-33735"
"ABZ1"		"ABZ1"		"ABZ1" // "ABZ1"	"YNR033W"
"ABZ2"	"YMR289W"	"YMR289W"		"ABZ2" // "YMR289W" // "YMR289W"	"G3O-84"
"ACA1"		"YER045C"		"ACA1" // "YER045C"	"G3O-30224"
"ACB1"		"YGR037C"		"ACB1" // "YGR037C"	"G3O-30758"
"ACC1"	"MTR7" // "FAS3" // "ABP2" // "biotin carboxylase"	"ACC1"		"ACC1" // "MTR7" // "FAS3" // "ABP2" // "biotin carboxylase" // "ACC1"	"YNR016C"
"ACE2"		"YLR131C"		"ACE2" // "YLR131C"	"G3O-32273"
"ACF2"		"YLR144C"		"ACF2" // "YLR144C"	"G3O-32281"
"ACF4"		"YJR083C"		"ACF4" // "YJR083C"	"G3O-31711"
"ACH1"		"ACH1"		"ACH1" // "ACH1"	"YBL015W"
"ACK1"		"YDL203C"		"ACK1" // "YDL203C"	"G3O-29586"
"ACM1"		"YPL267W"		"ACM1" // "YPL267W"	"G3O-34150"
"ACN9"		"YDR511W"		"ACN9" // "YDR511W"	"G3O-30031"
"ACO1"	"GLU1" // "aconitate hydratase"	"ACO1"		"ACO1" // "GLU1" // "aconitate hydratase" // "ACO1"	"YLR304C"
"ACO2"		"ACO2"		"ACO2" // "ACO2"	"YJL200C"
"ACP1"		"YKL192C"		"ACP1" // "YKL192C"	"G3O-31954"
"ACS1"	"FUN44" // "acetate-CoA ligase"	"ACS1"		"ACS1" // "FUN44" // "acetate-CoA ligase" // "ACS1"	"YAL054C"
"ACS2"		"ACS2"		"ACS2" // "ACS2"	"YLR153C"
"ACT1"		"YFL039C"		"ACT1" // "YFL039C"	"G3O-30423"
"ADA2"		"YDR448W"		"ADA2" // "YDR448W"	"G3O-29979"
"ADD37"		"YMR184W"		"ADD37" // "YMR184W"	"G3O-32872"
