Product Name,Genes,Component coefficients,Gene products
CPX-1806,YPL194W // YLR288C // YOR368W,TUPLE // YPL194W-MONOMER // 1 // TUPLE // YLR288C-MONOMER // 1 // TUPLE // YOR368W-MONOMER // 1,YPL194W-MONOMER // YLR288C-MONOMER // YOR368W-MONOMER
CPX-1850,YER090W // YKL211C,TUPLE // YER090W-MONOMER // 1 // TUPLE // YKL211C-MONOMER // 1,YER090W-MONOMER // YKL211C-MONOMER
CPX-608,YDR448W // YDR176W // YOR023C // YGR252W,TUPLE // YDR448W-MONOMER // 1 // TUPLE // YDR176W-MONOMER // 1 // TUPLE // YOR023C-MONOMER // 1 // TUPLE // YGR252W-MONOMER // 1,YDR448W-MONOMER // YDR176W-MONOMER // YOR023C-MONOMER // YGR252W-MONOMER
CPX-1838,YNR044W // YGL032C,TUPLE // YNR044W-MONOMER // 1 // TUPLE // YGL032C-MONOMER // 1,YNR044W-MONOMER // YGL032C-MONOMER
CPX-3034,YMR108W // YCL009C,TUPLE // YMR108W-MONOMER // 2 // TUPLE // YCL009C-MONOMER // 2,YMR108W-MONOMER // YCL009C-MONOMER
CPX-3541,YIR003W // YER071C,TUPLE // YIR003W-MONOMER // 1 // TUPLE // YER071C-MONOMER // 1,YIR003W-MONOMER // YER071C-MONOMER
CPX-1643,YGL047W // YBR070C,TUPLE // YGL047W-MONOMER // 1 // TUPLE // YBR070C-MONOMER // 1,YGL047W-MONOMER // YBR070C-MONOMER
CPX-3238,YPR180W // YDR390C,TUPLE // YPR180W-MONOMER // 1 // TUPLE // YDR390C-MONOMER // 1,YPR180W-MONOMER // YDR390C-MONOMER
CPX-532,YKL135C // YPR029C // YPL259C // YLR170C,TUPLE // YKL135C-MONOMER // 1 // TUPLE // YPR029C-MONOMER // 1 // TUPLE // YPL259C-MONOMER // 1 // TUPLE // YLR170C-MONOMER // 1,YKL135C-MONOMER // YPR029C-MONOMER // YPL259C-MONOMER // YLR170C-MONOMER
CPX-533,YKL135C // YPR029C // YHL019C // YLR170C,TUPLE // YKL135C-MONOMER // 1 // TUPLE // YPR029C-MONOMER // 1 // TUPLE // YHL019C-MONOMER // 1 // TUPLE // YLR170C-MONOMER // 1,YKL135C-MONOMER // YPR029C-MONOMER // YHL019C-MONOMER // YLR170C-MONOMER
CPX-534,YJR005W // YBL037W // YOL062C // YJR058C,TUPLE // YJR005W-MONOMER // 1 // TUPLE // YBL037W-MONOMER // 1 // TUPLE // YOL062C-MONOMER // 1 // TUPLE // YJR058C-MONOMER // 1,YJR005W-MONOMER // YBL037W-MONOMER // YOL062C-MONOMER // YJR058C-MONOMER
