genes,abundance
YLR201C,34.2
YMR188C,49.9
YLL002W,11.7
YNL015W,127
YHR022C,1.47
YKR039W,63.6
YDR240C,10.3
YPL095C,5.31
YBR072W,301
YFR020W,1.52
YDR131C,0.236
YIL068W-A,0.203
YIL147C,6.67
YJL193W,1.42
YPR057W,15
YPR146C,1.5
YER149C,62.8
YKR091W,1.56
YER087C-A,1.46
YLR221C,50.2
YIL027C,88.2
YLR134W,3308
YGL007W,1.46
YDR346C,521
YCR020C-A,20.3
YHR165W-A,0.216
YDR378C,10.2
YJL222W,4.35
YAR020C,1.46
YDR449C,121
YER159C-A,14.9
YCR102C,2.81
YOL084W,2.18
YJR024C,13.5
YER073W,420
YFR018C,28.1
YJL113W,0.004
YPL196W,12.8
YBR289W,16.9
YDR040C,81.1
YJL079C,18.5
YLR168C,31.4
YGR135W,251
YJL181W,2.31
YDR490C,8.63
YDL174C,145
YIL148W,420
YOR244W,13.2
YKR083C,15.7
YJR059W,53.1
YMR159C,6.38
YGR240C,1600
YHR056C,18.1
YOR295W,6.68
YGR063C,73.7
YJL132W,5.86
YJL127C-B,0.171
YMR160W,7.62
YDR166C,51.5
YIL135C,32
YLR467C-A,0.006
YGR187C,209
YDL108W,148
YNL282W,19.3
YMR063W,1.57
YJR154W,12.7
YOR386W,8.13
YGL164C,37.7
YER141W,70.1
YKL044W,1.46
YOR257W,6.2
YDR452W,7.73
YOR269W,2.09
YOL048C,8.93
YNR021W,360
YGR012W,68.6
YDR056C,49.3
YHR123W,28.4
YBL066C,2.25
YDL004W,17.1
YKL104C,246
YDR110W,14.7
YHR213W,1.67
YJR065C,95.6
YOR391C,3
YDR532C,7.94
YGR106C,256
YNL124W,16.4
YGL241W,26
YLR009W,2.12
YBR033W,2.32
YNL184C,4.3
YLR172C,124
YBL102W,18.9
YDR363W,15
YDL159W-A,1.13
YDR029W,1.33
YDR202C,33.3
YPL016W,8.78
YJR103W,72.1
YAL030W,44.4
YGL250W,15.2
YDR361C,121
YPR110C,242
YLR053C,1.35
YBR011C,1361
YMR213W,11.4
YMR119W-A,1.47
YHR100C,1.83
YEL027W,423
YNL225C,11.8
YMR292W,22.6
YGL068W,151
YGL229C,11.6
YCL036W,1.78
YKR028W,12.5
YPR042C,16.6
YEL002C,177
YMR177W,47.4
YJL006C,21.4
YLR437C,6.92
YMR108W,633
YAL056W,2.44
YCR046C,49.7
YKR094C,673
YMR135C,23.4
YBL005W-A,5.31
YJR061W,1.98
YAL065C,1.32
YHR039C-A,371
YCL056C,2.25
YJL102W,19.2
YFL026W,57.7
YDL085W,5.35
YPR003C,4.89
YKL198C,4.08
YOR374W,779
YDR210W-A,2.95
YOR372C,7.76
YDR279W,23.3
YDL248W,4.59
YFL011W,5.41
YLR227W-B,4.84
YNL215W,25.9
YLR273C,1.39
YMR191W,1.69
YKR101W,1.81
YDR238C,358
YCL001W,40
YNL117W,162
YOR186W,1.81
YJL058C,15.2
YPL216W,22.2
YER021W,154
YLR405W,29.8
YGL002W,5.36
YHR113W,12.3
YBL078C,21.9
YAL044C,262
YLR211C,2.06
YJL104W,109
YFR008W,6.97
YGR032W,125
YLR365W,1.36
YJR033C,9.74
YLR256W-A,70.9
YBR254C,12.2
YEL011W,36.7
YNL094W,17.7
YOR215C,127
YJR131W,67.7
YLR155C,1.44
YDL139C,6.08
YPR058W,40.5
YMR004W,27
YEL010W,1.31
YBL005W-B,3.79
YGR082W,109
YDR291W,7.51
YBR154C,17.6
YDL231C,2.74
YDR235W,16.8
YOR036W,1.37
YKL068W-A,0.229
YGL144C,2.26
YDR306C,1.53
YKL222C,1.78
YAL026C,30.8
YGR157W,79.9
YMR139W,71.2
YML103C,126
YFL054C,0.137
YBR092C,99.2
YOR035C,29.3
YKR046C,118
YMR294W,3
YOL073C,1.3
YDR444W,16.7
YML100W,149
YFL050C,19
YML025C,31.2
YKR086W,16.2
YNL080C,7.85
YOR178C,1.52
YBR230C,50.6
YOR325W,1.23
YMR201C,9.42
YKL176C,3.25
YDR511W,13.8
YLR462W,1.86
YJR066W,11.8
YFR045W,3.43
YJR032W,44.1
YDR028C,58.7
YPR031W,4.09
YNL128W,5.54
YDR038C,11.5
YML052W,365
YJL055W,239
YGR134W,12.3
YKL004W,56.5
YLR305C,8.65
YJR017C,90.6
YMR162C,6.69
YNR006W,21.6
YDR451C,1.99
YDL021W,22.1
YML046W,36.6
YGR235C,61.3
YFR001W,48.5
YDR494W,9.94
YLR118C,27.4
YLR045C,33.3
YLR187W,11.8
YPL141C,13.2
YHR116W,20.7
YOR193W,4.51
YNL218W,17.1
YGR182C,11.7
YDR322W,107
YDR313C,12.5
YCL009C,337
YJL012C,210
YBR163W,14.3
YER090W,257
YJL016W,32.4
