,seed_id
s_0001_c,C00965
s_0001_ce,C00965
s_0001_e,C00965
s_0004_ce,C02493
s_0006_m,C04807
s_0007_c,C11514
s_0008_m,C06007
s_0009_c,C04411
s_0010_c,C04236
s_0010_m,C04236
s_0012_m,C04593
s_0013_c,CHEBI:53026
s_0013_n,CHEBI:53026
s_0015_c,C03406
s_0016_c,C04272
s_0016_m,C04272
s_0017_c,C03492
s_0018_c,C01143
s_0019_c,C01107
s_0020_c,C00810
s_0020_n,C00810
s_0021_c,C00318
s_0021_e,C00318
s_0021_m,C00318
s_0021_p,C00318
s_0025_c,C00256
s_0025_e,C00256
s_0025_m,C00256
s_0028_c,C00418
s_0028_e,C00418
s_0030_c,C00522
s_0031_c,C00864
s_0031_e,C00864
s_0033_c,C03451
s_0033_m,C03451
s_0035_c,C03044
s_0035_e,C03044
s_0037_c,C01054
s_0037_er,C01054
s_0039_m,CHEBI:49256
s_0042_p,C05264
s_0045_erm,CHEBI:52976
s_0045_p,CHEBI:52976
s_0048_p,C05262
s_0051_erm,C05258
s_0051_p,C05258
s_0054_erm,C05260
s_0054_p,C05260
s_0056_c,C00671
s_0056_e,C00671
s_0056_m,C00671
s_0061_c,C00337
s_0062_c,C00424
s_0063_c,C00186
s_0063_e,C00186
s_0063_m,C00186
s_0066_c,C00149
s_0066_e,C00149
s_0066_m,C00149
s_0066_p,C00149
s_0075_c,C00236
s_0076_c,C01302
s_0077_c,C04896
s_0078_c,C02741
s_0079_c,C01225
s_0079_ce,C01225
s_0079_e,C01225
s_0084_e,C04230
s_0086_c,C03506
s_0087_c,C02918
s_0089_c,C01194
s_0089_er,C01194
s_0116_c,C04281
s_0116_m,C04281
s_0118_c,C04322
s_0118_m,C04322
s_0120_c,C00234
s_0120_m,C00234
s_0122_c,C05108
s_0122_e,C05108
s_0123_n,C01272
s_0124_n,C11555
s_0125_c,C01245
s_0125_n,C01245
s_0126_c,C01177
s_0126_er,C01177
s_0129_m,C04006
s_0131_c,C02353
s_0131_e,C02353
s_0132_c,C00559
s_0132_e,C00559
s_0134_c,C00330
s_0134_e,C00330
s_0136_c,C05512
s_0136_e,C05512
s_0138_c,C00526
s_0138_e,C00526
s_0140_c,C01159
s_0141_c,C01304
s_0142_c,CHEBI:52402
s_0143_c,C04441
s_0144_c,C04692
s_0145_m,C01250
s_0146_c,C00900
s_0146_m,C00900
s_0147_c,CHEBI:29044
s_0148_m,C01300
s_0149_c,C00966
s_0149_m,C00966
s_0152_c,C01801
s_0152_e,C01801
s_0153_c,C00673
s_0154_m,C05805
s_0155_m,C05803
s_0156_m,C05804
s_0157_m,C05802
s_0158_c,C15556
s_0161_er,CHEBI:50626
s_0162_c,C02504
s_0162_e,C02504
s_0162_m,C02504
s_0165_c,C02631
s_0166_c,C02223
s_0166_e,C02223
s_0166_m,C02223
s_0169_c,CHEBI:48945
s_0169_e,CHEBI:48945
s_0169_m,CHEBI:48945
s_0172_c,CHEBI:50585
s_0172_e,CHEBI:50585
