Product Name,Genes,Component coefficients,Gene products
CPLX3O-79,YAL060W,TUPLE // YAL060W-MONOMER // 2,YAL060W-MONOMER
CPLX3O-10526,YKL152C,TUPLE // YKL152C-MONOMER // 4,YKL152C-MONOMER
CPLX-8720,YNL202W,TUPLE // YNL202W-MONOMER // 2,YNL202W-MONOMER
CPLX-8046,G-11954 // G-11955 // G-11956,TUPLE // MONOMER-15578 // 1 // TUPLE // MONOMER-15579 // 1 // TUPLE // MONOMER-15580 // 1,MONOMER-15578 // MONOMER-15579 // MONOMER-15580
CPLX-8758,YBR026C,TUPLE // YBR026C-MONOMER // 2,YBR026C-MONOMER
CPLX3O-12,YIL125W,TUPLE // YIL125W-MONOMER // 1,YIL125W-MONOMER
CPLX3O-33,YDR148C // YIL125W // YFL018C,TUPLE // CPLX3O-16 // 1 // TUPLE // YDR148C-MONOMER // 1 // TUPLE // CPLX3O-12 // 1 // TUPLE // YIL125W-MONOMER // 1 // TUPLE // YFL018C-MONOMER // 1,YDR148C-MONOMER // YIL125W-MONOMER // YFL018C-MONOMER
CPLX3O-71,YDR380W,TUPLE // MONOMER3O-398 // 4,MONOMER3O-398
CPLX-7479,YJR025C,TUPLE // YJR025C-MONOMER // 1,YJR025C-MONOMER
CPLX-8763,YCL018W,TUPLE // YCL018W-MONOMER // 2,YCL018W-MONOMER
CPLX-8705,YIL160C,TUPLE // YIL160C-MONOMER // 2,YIL160C-MONOMER
CPLX-8694,G3O-30409,TUPLE // MONOMER3O-3915 // 2,MONOMER3O-3915
CPLX3O-10528,YGL236C // YMR023C,TUPLE // YGL236C-MONOMER // 1 // TUPLE //YMR023C-MONOMER // 1,YGL236C-MONOMER // YMR023C-MONOMER
CPLX3O-10538,YKL215C,TUPLE // YKL215C-MONOMER // 2,YKL215C-MONOMER
CPLX-7781,YOL143C,TUPLE // YOL143C-MONOMER // 5,YOL143C-MONOMER
3-Methyl-2-Oxobut-Dehydrogenases,,,
Branched-chain-2-keto-acid-deHase,,,
Cit-Ly,,,
Cysteine-Desulfurylases,,,
Nitrogen-reductases,,,
DsrC-sulfur-carrier-proteins,,,
DsrEFH-Complexes,,,
Eukaryotic-Nitrate-Reductases,,,
Factor-X,,,
Factor-Xa,,,
Factor-XI,,,
Factor-XIa,,,
Ferrihemoglobins,,,
Ferrohemoglobins,,,
Glutamine-synthases,,,
Hemoglobins,,TUPLE // Hemoglobin-beta // 2 // TUPLE // Hemoglobin-alpha // 2,
HOLO-CITRATE-LYASE,,,
Holo-CO-dehydrogenases,,,
holo-Transcarboxylases,,,
Hydrogenases,,,
Kinesin-Microtubules-Complex,,,
Lact-Coa,,,
Malonate-Decarboxylases-Thiol-Form,,,
MODIFIED-RUBISCO,,,
NifDK,,,
NifDK-M-cluster,,,
NifEN,,,
NifEN-L-clutser,,,
NifEN-M-cluster,,,
Nitrate-Reductases,,,
Nitrogenases,,,
Nitrogenase-Reductases,,,
Phosphatase-2A,,,
Phosphorylase-a,,,
Phosphorylase-b,,,
Branched-chain-2-keto-acid-deH-P,,,
Iso-Cit,,,
Phospho-3-Methyl-2-Oxobut-Dehydrogenases,,,
Plasmins,,,
Procollagens,,,
NAS,,,
NAP,,,
MAR,,,
Pyruv-Form,,,
pyruvate-water-dikinase,,,
Reduced-e-transfer-flavoproteins,,,
Reduced-nitrogen-reductases,,,
Reduced-nitrogenase-reductases,,,
Ribonucleoside-triphosphate-reductases,,,
RUBISCO,,,
SoxZY-Proteins,,,
Thyroglobulins,,,
Xanthine-dehydrogenases,,,
Xanthine-oxidases,,,
Chap-ADP-apo-SP-Complex,,,
Chap-ATP-Co-chaperone-SP-2Fe2S-Complex,,,
DEACETYL-CITRATE-LYASE,,,
Co-chaperone-SP-2Fe2S-Complex,,,
CD-2S-SP-Complex,,,
CD-S-SP-Complex,,,
CD-SP-2Fe2S-Complex,,,
GLYCOGENIN,,,
Holo-ACP-Synthases,,,
NiFe-hydrogenases,,,
CPLX3O-30,YCL009C // YMR108W,TUPLE // YCL009C-MONOMER // 1 // TUPLE // MONOMER3O-29 // 1,YCL009C-MONOMER // MONOMER3O-29
CPLX-706,YPL028W,TUPLE // YPL028W-MONOMER // 1,YPL028W-MONOMER
CPLX3O-102,YMR207C,TUPLE // YMR207C-MONOMER // 4,YMR207C-MONOMER
CPLX-8141,YML022W,TUPLE // YML022W-MONOMER // 2,YML022W-MONOMER
CPLX-645,YLR359W,TUPLE // YLR359W-MONOMER // 4,YLR359W-MONOMER
CPLX-672,YNL220W,TUPLE // YNL220W-MONOMER // 2,YNL220W-MONOMER
CPLX-563,YKL001C,TUPLE // YKL001C-MONOMER // 2,YKL001C-MONOMER
