Product Name,Genes,Component coefficients,Gene products (polypeptides and RNAs only)
"2,3-butanediol dehydrogenase",BDH1,TUPLE // YAL060W-MONOMER // 2,"2,3-butanediol dehydrogenase"
"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",GPM1,TUPLE // YKL152C-MONOMER // 4,phosphoglycerate mutase
"2,4-dienoyl-CoA reductase",SPS19,TUPLE // YNL202W-MONOMER // 2,"2,4-dienoyl-CoA reductase"
2-(3-amino-3-carboxypropyl)histidine synthase,"DPH1 // ""DPH2"" // ""KTI11""",TUPLE // MONOMER-15578 // 1 // TUPLE // MONOMER-15579 // 1 // TUPLE // MONOMER-15580 // 1,"diphthamide biosynthesis protein 1 // ""diphthamide biosynthesis protein 2"" // ""diphthamide biosynthesis protein 3"""
2-enoyl thioester reductase,ETR1,TUPLE // G3O-29006-MONOMER // 2,2-enoyl thioester reductase
2-ketoglutarate dehydrogenase,KGD1,TUPLE // YIL125W-MONOMER // 1,alpha-ketoglutarate dehydrogenase subunit
2-ketoglutarate dehydrogenase complex,"KGD2 // ""KGD1"" // ""LPD1""",TUPLE // CPLX3O-16 // 1 // TUPLE // YDR148C-MONOMER // 1 // TUPLE // CPLX3O-12 // 1 // TUPLE // YIL125W-MONOMER // 1 // TUPLE // YFL018C-MONOMER // 1,"dihydrolipoyl transsuccinylase subunit // ""alpha-ketoglutarate dehydrogenase subunit"" // ""dihydrolipoamide dehydrogenase"""
2-oxo acid decarboxylase,ARO10,TUPLE // MONOMER3O-398 // 4,2-keto-3-methylvalerate decarboxylase subunit
,BNA1,TUPLE // YJR025C-MONOMER // 1,YJR025C-MONOMER
3-isopropylmalate dehydrogenase,LEU2,TUPLE // YCL018W-MONOMER // 2,3-isopropylmalate dehydrogenase monomer
3-oxoacyl CoA thiolase,POT1,TUPLE // YIL160C-MONOMER // 2,3-oxoacyl CoA thiolase
4-amino-2-methyl-5-phosphomethylpyrimidine synthase,THI5,TUPLE // MONOMER3O-3915 // 2,MONOMER3O-3915
