,complex,putative_genes,coeffs,monomer_id,gene,obj_ids
0,"1,4-dihydroxy-2-naphthoyl-CoA hydrolase",menI,4,G6912-MONOMER,menI,G6912-MONOMER
1,"1,4-dihydroxy-2-naphthoyl-CoA synthase",menB,6,NAPHTHOATE-SYN-MONOMER,menB,NAPHTHOATE-SYN-MONOMER
2,1-deoxy-D-xylulose 5-phosphate reductoisomerase,dxr,2,DXPREDISOM-MONOMER,dxr,DXPREDISOM-MONOMER
3,1-deoxy-D-xylulose-5-phosphate synthase,dxs,2,DXS-MONOMER,dxs,DXS-MONOMER
4,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,ispH,2,EG11081-MONOMER,ispH,EG11081-MONOMER
5,1-phosphofructokinase,fruK,2,1-PFK-MONOMER,fruK,1-PFK-MONOMER
6,16S rRNA 2'-<i>O</i>-ribose C1402 methyltransferase,rsmI,2,G7641-MONOMER,rsmI,G7641-MONOMER
7,16S rRNA m<sup>3</sup>U1498 methyltransferase,rsmE,2,EG12366-MONOMER,rsmE,EG12366-MONOMER
8,16S rRNA m<sup>4</sup>C1402 methyltransferase,rsmH,2,EG11085-MONOMER,rsmH,EG11085-MONOMER
9,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",gpmA,2,GPMA-MONOMER,gpmA,GPMA-MONOMER
10,"2,3-diaminopropionate ammonia-lyase",ygeX,2,G7490-MONOMER,ygeX,G7490-MONOMER
11,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",entA,4,ENTA-MONOMER,entA,ENTA-MONOMER
12,"2,3-dihydroxybenzoate-AMP ligase",entE,2,ENTE-MONOMER,entE,ENTE-MONOMER
13,"2,3-diketo-L-gulonate reductase",yiaK,2,EG12279-MONOMER,yiaK,EG12279-MONOMER
14,"2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - periplasmic binding protein"" // ""2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit"" // ""2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit","yiaM"" // ""yiaN"" // ""yiaO",1,MONOMER0-422,yiaM,MONOMER0-422
15,"2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - periplasmic binding protein"" // ""2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit"" // ""2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit","yiaM"" // ""yiaN"" // ""yiaO",1,EG12282-MONOMER,yiaN,EG12282-MONOMER
16,"2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - periplasmic binding protein"" // ""2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit"" // ""2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit","yiaM"" // ""yiaN"" // ""yiaO",1,EG12283-MONOMER,yiaO,EG12283-MONOMER
17,2-amino-3-ketobutyrate CoA ligase,kbl,2,AKBLIG-MONOMER,kbl,AKBLIG-MONOMER
18,"2-<i>C</i>-methyl-D-erythritol 2,4-cyclodiphosphate synthase",ispF,3,EG11816-MONOMER,ispF,EG11816-MONOMER
19,2-hydroxy-6-oxononatrienedioate hydrolase,mhpC,2,MHPCHYDROL-MONOMER,mhpC,MHPCHYDROL-MONOMER
20,"2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase",paaY,3,G6721-MONOMER,paaY,G6721-MONOMER
21,2-hydroxypentadienoate hydratase,mhpD,5,MHPDHYDROL-MONOMER,mhpD,MHPDHYDROL-MONOMER
22,2-keto-3-deoxy-L-rhamnonate aldolase,yfaU,6,G7158-MONOMER,yfaU,G7158-MONOMER
23,2-methylcitrate synthase,prpC,2,G6198-MONOMER,prpC,G6198-MONOMER
24,2-methylisocitrate lyase,prpB,4,G6196-MONOMER,prpB,G6196-MONOMER
25,"2-oxoglutarate decarboxylase, thiamine-requiring",sucA,1,E1O-MONOMER,sucA,E1O-MONOMER
26,2-oxoglutarate dehydrogenase complex,"lpd"" // ""sucB"" // ""sucA",1,E3-CPLX,,E3-CPLX
27,2-oxoglutarate dehydrogenase complex,"lpd"" // ""sucB"" // ""sucA",2,E3-MONOMER,lpd,E3-MONOMER
28,2-oxoglutarate dehydrogenase complex,"lpd"" // ""sucB"" // ""sucA",1,E2O,,E2O
29,2-oxoglutarate dehydrogenase complex,"lpd"" // ""sucB"" // ""sucA",2,E2O-MONOMER,sucB,E2O-MONOMER
30,2-oxoglutarate dehydrogenase complex,"lpd"" // ""sucB"" // ""sucA",1,E1O,,E1O
31,2-oxoglutarate dehydrogenase complex,"lpd"" // ""sucB"" // ""sucA",1,E1O-MONOMER,sucA,E1O-MONOMER
32,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,menD,2,MEND-MONOMER,menD,MEND-MONOMER
33,23S rRNA 2'-<i>O</i>-ribose G2251 methyltransferase,rlmB,2,G7845-MONOMER,rlmB,G7845-MONOMER
34,23S rRNA m<sup>3</sup>&Psi;1915 methyltransferase,rlmH,2,EG11254-MONOMER,rlmH,EG11254-MONOMER
35,23S rRNA m<sup>5</sup>C1962 methyltransferase,rlmI,2,G6501-MONOMER,rlmI,G6501-MONOMER
36,2Fe-2S cluster-containing protein YeaW,yeaW,3,G6988-MONOMER,yeaW,G6988-MONOMER
37,"3,4-dihydroxy-2-butanone-4-phosphate synthase",ribB,2,DIOHBUTANONEPSYN-MONOMER,ribB,DIOHBUTANONEPSYN-MONOMER
38,"3-carboxyethylcatechol 2,3-dioxygenase",mhpB,4,DHPDIOXYGEN-MONOMER,mhpB,DHPDIOXYGEN-MONOMER
39,3-dehydroquinate dehydratase,aroD,2,AROD-MONOMER,aroD,AROD-MONOMER
40,"3-deoxy-7-phosphoheptulonate synthase, Phe-sensitive",aroG,4,AROG-MONOMER,aroG,AROG-MONOMER
