gene name,MW
YLR201C,29958.18
YMR188C,27634.6
YLL002W,50095.42
YNL015W,8589.64
YHR022C,28995.71
YKR039W,65654.82
YDR240C,56497.81
YPL095C,51722.91
YBR072W,23879.31
YFR020W,25720.38
YDR131C,65242.25
YIL068W-A,14498.92
YIL147C,134433.81
YJL193W,45936.78
YPR057W,39859.07
YPR146C,12230.36
YER149C,48164.12
YKR091W,27465.54
YER087C-A,20007.3
YLR221C,24656.01
YIL027C,15907.22
YLR134W,61911.38
YGL007W,13790.14
YDR346C,54366.93
YCR020C-A,9724.52
YHR165W-A,9600.44
YDR378C,9397.47
YJL222W,174399.67
YAR020C,5674.36
YDR449C,52417.76
YER159C-A,49128.11
YCR102C,40120.36
YOL084W,112544.68
YJR024C,27426.62
YER073W,56692.14
YFR018C,41030.78
YJL113W,207707.08
YPL196W,30778.93
YBR289W,102541.9
YDR040C,120356.09
YJL079C,30633.89
YLR168C,26506.02
YGR135W,28713.92
YJL181W,69475.76
YDR490C,86251.67
YDL174C,65291.87
YIL148W,14553.86
YOR244W,52612.28
YKR083C,15071.41
YJR059W,91399.51
YMR159C,17222.24
YGR240C,107969.06
YHR056C,101333.41
YOR295W,25966.74
YGR063C,11157.68
YJL132W,84465.58
YJL127C-B,6016.99
YMR160W,95095.72
YDR166C,112119.98
YIL135C,47960.76
YLR467C-A,18567.76
YGR187C,44951
YDL108W,35246.63
YNL282W,22611.53
YMR063W,26696.4
YJR154W,38971.49
YOR386W,66273.25
YGL164C,50295.58
YER141W,54657.92
YKL044W,12447.78
YOR257W,18750.85
YDR452W,78343.35
YOR269W,56900.15
YOL048C,39599.47
YNR021W,47092.47
YGR012W,42800.34
YDR056C,22768.58
YHR123W,44559.26
YBL066C,127990.65
YDL004W,17020.22
YKL104C,80045.93
YDR110W,65317.73
YHR213W,21144.9
YJR065C,49541.13
YOR391C,25926.07
YDR532C,44673.85
YGR106C,29677.72
YNL124W,54949.05
YGL241W,113920.07
YLR009W,23975.2
YBR033W,103396.07
YNL184C,12469.44
YLR172C,33847.02
YBL102W,24274.03
YDR363W,52541
YDL159W-A,5090.98
YDR029W,12310.5
YDR202C,40016.72
YPL016W,147936.33
YJR103W,64509.89
YAL030W,13201.19
YGL250W,27708.21
YDR361C,32660.94
YPR110C,37686.27
YLR053C,12692.85
YBR011C,32299.17
YMR213W,67730.07
YMR119W-A,14509.41
YHR100C,20944.93
YEL027W,16350.47
YNL225C,67399.43
YMR292W,15430.52
YGL068W,20649.75
YGL229C,94727.72
YCL036W,64912.63
YKR028W,117096.98
YPR042C,119507.04
YEL002C,49390.98
YMR177W,56208.74
YJL006C,37904.14
YLR437C,15164.92
YMR108W,74936.08
YAL056W,98654.92
YCR046C,19393.62
YKR094C,14553.86
YMR135C,51728.68
YBL005W-A,49284.54
YJR061W,108426.1
YAL065C,12919.03
YHR039C-A,12712.46
YCL056C,16592.71
YJL102W,91282.23
YFL026W,47848.19
YDL085W,61658.54
YPR003C,83383.25
YKL198C,73501.82
YOR374W,56722.95
YDR210W-A,49834.91
YOR372C,60522.09
YDR279W,39483.12
YDL248W,45679.12
YFL011W,60661.36
YLR227W-B,198403.12
YNL215W,36153.46
YLR273C,74145.34
YMR191W,42162.5
YKR101W,76932.56
YDR238C,109018.38
YCL001W,22269.98
YNL117W,62790.47
YOR186W,16179.35
YJL058C,60840.33
YPL216W,128131.88
YER021W,60392.19
YLR405W,41696.08
YGL002W,25274.77
YHR113W,54172.99
YBL078C,13626.63
YAL044C,18792.76
YLR211C,25975.12
YJL104W,16215.78
YFR008W,25915.18
YGR032W,216987.7
YLR365W,12688.94
YJR033C,154931.55
YLR256W-A,49003
YBR254C,19699.96
YEL011W,81114.59
YNL094W,66133.8
YOR215C,21228.65
YJR131W,63056.65
YLR155C,38686.2
YDL139C,25753.51
YPR058W,33375.34
YMR004W,59656.02
YEL010W,13522.57
YBL005W-B,198967.38
YGR082W,20316.98
YDR291W,123548.24
YBR154C,25078.79
YDL231C,129724.01
YDR235W,65144.37
YOR036W,33005.92
YKL068W-A,8857.79
YGL144C,78141.22
YDR306C,54436.14
YKL222C,82247.37
YAL026C,153762.95
YGR157W,101202.15
YMR139W,43004.07
YML103C,188575.05
YFL054C,70506.64
YBR092C,52775.88
YOR035C,89552.05
YKR046C,31245.97
YMR294W,43606.66
YOL073C,35761.86
YDR444W,78107.27
YML100W,123016.84
YFL050C,96682.94
YML025C,31969.29
YKR086W,121651.28
YNL080C,41673.48
YOR178C,88531.7
YBR230C,14609.45
YOR325W,16877.3
YMR201C,43037.83
YKL176C,93357.81
YDR511W,15782.92
