(Proteins Complexes Compounds),Object ID,Gene
putative acyl-CoA dehydrogenase AidB,EG11811-MONOMER,aidB
oxidized glutaredoxin 2,OX-GLUTAREDOXIN-B,grxB
ureidoglycolate dehydrogenase,G6286-MONOMER,allD
uncharacterized protein YoeI,MONOMER0-2870,yoeI
Ton complex subunit TonB,EG11012-MONOMER,tonB
"protein chain elongation factor EF-P, &beta;-lysyl-Lys34",MONOMER0-4200,efp
fructoselysine/psicoselysine transporter,YHFM-MONOMER,frlA
DNA-binding transcriptional dual regulator CecR,EG12406-MONOMER,cecR
cryptic phosphonate ABC transporter periplasmic binding protein,PHND-MONOMER,phnD
"glutathione hydrolase, small subunit",MONOMER0-4195,ggt
putative succinate exporter YjjP,G7946-MONOMER,yjjP
DLP12 prophage; putative phage lysis protein,G6309-MONOMER,essD
putative amino acid transporter family transporter YifK,YIFK-MONOMER,yifK
&beta; cleavage product of IaaA,MONOMER0-3,iaaA
DUF2526 domain-containing protein YdcY,G6757-MONOMER,ydcY
GALACTONATE-DEHYDRATASE-MONOMER,GALACTONATE-DEHYDRATASE-MONOMER,dgoD
G6782-MONOMER,G6782-MONOMER,ddpX
protein disulfide oxidoreductase - DsbD<SUB>oxidized</SUB>,DSBDOXI-MONOMER,dsbD
putative flavoprotein,G7435-MONOMER,ygcQ
<i>N</i>-acetylmuramoyl-L-alanine amidase C,G7458-MONOMER,amiC
RhsE protein in rhs element,EG10010-MONOMER,rhsE
AceF-dihydrolipoate,ACEF-DIHYDROLIPOATE,aceF
D-serine ammonia-lyase,DSERDEAM-MONOMER,dsdA
asparagine&mdash;tRNA ligase,ASNS-MONOMER,asnS
stress-induced alternate pyruvate formate-lyase subunit,EG11784-MONOMER,grcA
Tsr<SUP>glu-Me</SUP>,TSR-GLUME,
chorismate synthase,AROC-MONOMER,aroC
PF17089 family protein YjbT,MONOMER0-2828,yjbT
ssDNA-binding protein,EG10976-MONOMER,ssb
&alpha; cleavage product of SpeD,SAMDC-ALPHA-MONOMER,speD
uncharacterized protein YdcD,EG11760-MONOMER,ydcD
putative carbamate kinase,EG12384-MONOMER,ybcF
uncharacterized protein YlbE,G6288-MONOMER,ylbE
molybdopterin synthase sulfurtransferase,G6952-MONOMER,ynjE
P<SUP>asp56</SUP> RcsB,PHOSPHO-RCSB,rcsB
MONOMER0-2799,MONOMER0-2799,
Zn<sup>2+</sup>/Cd<sup>2+</sup>/Pb<sup>2+</sup> exporting P-type ATPase,YHHO-MONOMER,zntA
DNA-binding transcriptional activator UhpA,UHPA-MONOMER,uhpA
DNA-binding transcriptional regulator BglJ,G7948-MONOMER,bglJ
sensory histidine kinase UhpB,UHPB-MONOMER,uhpB
Phosphorylated DNA-binding transcriptional activator EvgA,PHOSPHO-EVGA,evgA
KpLE2 phage-like element; putative methyltransferase YjhP,G7916-MONOMER,yjhP
L-amino acid N-acyltransferase,G6759-MONOMER,mnaT
putative FAD-containing dehydrogenase,G7439-MONOMER,ygcU
Phosphorylated DNA-binding transcriptional activator BaeR,PHOSPHO-BAER,baeR
Holliday junction branch migration complex subunit RuvA,EG10923-MONOMER,ruvA
DTDPDEHYRHAMREDUCT-MONOMER,DTDPDEHYRHAMREDUCT-MONOMER,rfbD
AROE-MONOMER,AROE-MONOMER,aroE
EIIBC<sup>glc</sup> - phosphorylated,MONOMER0-4389,ptsG
"peptidyl-tRNA hydrolase, ribosome rescue factor",EG12354-MONOMER,arfB
glutathione transferase-like protein YibF,EG11762-MONOMER,yibF
sensory histidine kinase PhoQ,PHOQ-MONOMER,phoQ
uncharacterized protein YkfM,MONOMER0-2812,ykfM
sensory histidine kinase EvgS - asp1009 phosphorylated,MONOMER0-4185,evgS
NfeD-like family protein,G6264-MONOMER,ybbJ
KpLE2 phage-like element; putative frameshift suppressor,G7918-MONOMER,yjhR
crossover junction endodeoxyribonuclease RuvC,EG10925-MONOMER,ruvC
Phosphorylated DNA-binding transcriptional activator QseB,MONOMER0-2741,qseB
L-arginine exporter,YGGA-MONOMER,argO
short chain acyl-CoA synthetase,EG12357-MONOMER,fadK
putative iron ABC exporter membrane subunit FetB,G6267-MONOMER,fetB
HypT-[Met-oxidized] DNA-binding transcriptional dual regulator,CPLX0-8075,
putative phosphatase,G6730-MONOMER,ynbD
YGJE-MONOMER,YGJE-MONOMER,ttdT
uncharacterized protein YjiK,G7930-MONOMER,yjiK
Trg<SUP>glu-Me</SUP>,TRG-GLUME,
putative 3-oxo-tetronate kinase YgbK,G7418-MONOMER,ygbK
ATP-dependent helicase,G6732-MONOMER,hrpA
DNA-binding transcriptional dual regulator PhoP,PHOP-MONOMER,phoP
putative 2-oxo-tetronate isomerase YgbM,G7420-MONOMER,ygbM
PtsI - his 189 phosphorylated,PTSI-PHOSPHORYLATED,
dihydroxy-acid dehydratase,DIHYDROXYACIDDEHYDRAT-MONOMER,ilvD
"3,4-dihydroxy-2-butanone-4-phosphate synthase",DIOHBUTANONEPSYN-MONOMER,ribB
arabinose ABC transporter periplasmic binding protein,ARAF-MONOMER,araF
Phosphorylated DNA-binding transcriptional dual regulator PhoP,PHOSPHO-PHOP,phoP
L-arabinose isomerase,ARABISOM-MONOMER,araA
heme-containing peroxidase/deferrochelatase,EG11735-MONOMER,efeB
PF03692 putative metal-chelating domain-containing protein YeiW,MONOMER0-2726,yeiW
P<sup>asp</sup> DNA-binding transcriptional dual regulator DpiA,PHOSPHO-DPIA,dpiA
putative transcriptional regulator,EG11733-MONOMER,yieP
KpLE2 phage-like element; putative oxidoreductase YjhC,G7901-MONOMER,yjhC
30S ribosomal subunit protein S9,EG10908-MONOMER,rpsI
sensory histidine kinase ArcB - his717 phosphorylated,PHOSPHO-ARCB717,arcB
protein YjjZ,MONOMER0-2696,yjjZ
iron-sulfur cluster insertion protein ErpA,EG12332-MONOMER,erpA
DNA-binding transcriptional dual regulator PhoB,PHOB-MONOMER,phoB
thioesterase III,G6244-MONOMER,fadM
FruB - his299 phosphorylated,MONOMER0-4306,fruB
KpLE2 phage-like element; uncharacterized protein YjgZ,G7899-MONOMER,yjgZ
glycine betaine ABC transporter membrane subunit YehW,YEHW-MONOMER,yehW
"phenylacetyl-CoA 1,2-epoxidase, reductase subunit",G6713-MONOMER,paaE
sensory histidine kinase CusS - phosphorylated,MONOMER0-4178,cusS
30S ribosomal subunit protein S7,EG10906-MONOMER,rpsG
thiosulfate sulfurtransferase YgaP,G7398-MONOMER,ygaP
dGTP triphosphohydrolase,DGTPTRIPHYDRO-MONOMER,dgt
PanD &alpha; cleavage product,MONOMER0-1842,panD
putative ATP-dependent RNA helicase HrpB,EG12329-MONOMER,hrpB
4-&alpha;-glucanotransferase,AMYLOMALT-MONOMER,malQ
DUF3748 domain-containing galacturonate catabolism protein YidR,EG11713-MONOMER,yidR
RcsB-P-phosphate,CPLX0-7978,
periplasmic folding chaperone,G6242-MONOMER,ppiD
undecaprenyl-phosphate-&alpha;-L-Ara4N flippase - ArnE subunit,MONOMER0-2682,arnE
"enamine/imine deaminase, redox regulated chaperone",G7877-MONOMER,ridA
Tar<SUP>glu-Me</SUP>,TAR-GLUME,
YEEF-MONOMER,YEEF-MONOMER,plaP
50S ribosomal subunit protein L29,EG10887-MONOMER,rpmC
putative rRNA methyltransferase,EG12309-MONOMER,yjtD
sensory histidine kinase NtrB - phosphorylated,PROTEIN-NRIIP,
"phenylacetyl-CoA 1,2-epoxidase, structural subunit",G6711-MONOMER,paaC
putative 3-phenylpropionate/cinnamate dioxygenase subunit &alpha;,PHENYLPRODIOXY-MONOMER,hcaE
IS2 element protein InsA,G6212-MONOMER,insC-1
OmpR-Phosphorylated DNA-binding transcriptional dual regulator,PHOSPHO-OMPR,
Pmp3 family protein,G7396-MONOMER,yqaE
