bact:5DNU_ECOLI	5'-deoxynucleotidase YfbR (EC 3.1.3.89) (5'-deoxyribonucleotidase) (Nucleoside 5'-monophosphate phosphohydrolase)	uniprot:P76491	yfbR b2291 JW2288
bact:5FCL_ECOLI	5-formyltetrahydrofolate cyclo-ligase (5-FCL) (EC 6.3.3.2) (5,10-methenyltetrahydrofolate synthetase) (MTHFS)	uniprot:P0AC28	ygfA b2912 JW2879
bact:6PGD_ECOLI	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	uniprot:P00350	gnd b2029 JW2011
bact:6PGL_ECOLI	6-phosphogluconolactonase (6-P-gluconolactonase) (Pgl) (EC 3.1.1.31)	uniprot:P52697	pgl ybhE b0767 JW0750
bact:AAS_ECOLI	Bifunctional protein Aas [Includes: 2-acylglycerophosphoethanolamine acyltransferase (EC 2.3.1.40) (2-acyl-GPE acyltransferase) (Acyl-[acyl-carrier-protein]--phospholipid O-acyltransferase); Acyl-[acyl-carrier-protein] synthetase (EC 6.2.1.20) (Acyl-ACP synthetase) (Long-chain-fatty-acid--[acyl-carrier-protein] ligase)]	uniprot:P31119	aas b2836 JW2804
bact:AAT_ECOLI	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)	uniprot:P00509	aspC b0928 JW0911
bact:ABDH_ECOLI	Gamma-aminobutyraldehyde dehydrogenase (EC 1.2.1.19) (1-pyrroline dehydrogenase) (4-aminobutanal dehydrogenase) (ABALDH)	uniprot:P77674	prr ydcW b1444 JW1439
bact:ACCA_ECOLI	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	uniprot:P0ABD5	accA b0185 JW0180
bact:ACCC_ECOLI	Biotin carboxylase (EC 6.3.4.14) (Acetyl-CoA carboxylase subunit A) (ACC) (EC 6.4.1.2)	uniprot:P24182	accC fabG b3256 JW3224
bact:ACCD_ECOLI	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 6.4.1.2)	uniprot:P0A9Q5	accD dedB usg b2316 JW2313
bact:ACDH_ECOLI	Acetaldehyde dehydrogenase (EC 1.2.1.10) (Acetaldehyde dehydrogenase [acetylating])	uniprot:P77580	mhpF mhpE b0351 JW0342
bact:ACEA_ECOLI	Isocitrate lyase (ICL) (EC 4.1.3.1) (Isocitrase) (Isocitratase)	uniprot:P0A9G6	aceA icl b4015 JW3975
bact:ACKA_ECOLI	Acetate kinase (EC 2.7.2.1) (Acetokinase)	uniprot:P0A6A3	ackA ack b2296 JW2293
bact:ACNA_ECOLI	Aconitate hydratase A (ACN) (Aconitase) (EC 4.2.1.3) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein) (Stationary phase enzyme)	uniprot:P25516	acnA acn b1276 JW1268
bact:ACNB_ECOLI	Aconitate hydratase B (ACN) (Aconitase) (EC 4.2.1.3) ((2R,3S)-2-methylisocitrate dehydratase) ((2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase) (2-methyl-cis-aconitate hydratase) (EC 4.2.1.99) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein)	uniprot:P36683	acnB yacI yacJ b0118 JW0114
bact:ACPH_ECOLI	Acyl carrier protein phosphodiesterase (ACP phosphodiesterase) (EC 3.1.4.14)	uniprot:P21515	acpH yajB b0404 JW0394
bact:ACPS_ECOLI	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	uniprot:P24224	acpS dpj b2563 JW2547
bact:ACPT_ECOLI	4'-phosphopantetheinyl transferase AcpT (EC 2.7.8.7)	uniprot:P37623	acpT yhhU b3475 JW3440
bact:ACP_ECOLI	Acyl carrier protein (ACP) (Cytosolic-activating factor) (CAF) (Fatty acid synthase acyl carrier protein)	uniprot:P0A6A8	acpP b1094 JW1080
bact:ACRA_ECOLI	Multidrug efflux pump subunit AcrA (AcrAB-TolC multidrug efflux pump subunit AcrA) (Acridine resistance protein A)	uniprot:P0AE06	acrA lir mtcA b0463 JW0452
bact:ACRB_ECOLI	Multidrug efflux pump subunit AcrB (AcrAB-TolC multidrug efflux pump subunit AcrB) (Acridine resistance protein B)	uniprot:P31224	acrB acrE b0462 JW0451
bact:ACRD_ECOLI	Probable aminoglycoside efflux pump (Acriflavine resistance protein D)	uniprot:P24177	acrD yffA b2470 JW2454
bact:ACRE_ECOLI	Multidrug export protein AcrE (Acriflavine resistance protein E) (Protein EnvC)	uniprot:P24180	acrE envC b3265 JW3233
bact:ACRF_ECOLI	Multidrug export protein AcrF (Acriflavine resistance protein F) (Protein EnvD)	uniprot:P24181	acrF envD b3266 JW3234
bact:ACSA_ECOLI	Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)	uniprot:P27550	acs yfaC b4069 JW4030
bact:ACTP_ECOLI	Cation/acetate symporter ActP (Acetate permease) (Acetate transporter ActP)	uniprot:P32705	actP yjcG b4067 JW4028
bact:ACYP_ECOLI	Acylphosphatase (EC 3.6.1.7) (Acylphosphate phosphohydrolase)	uniprot:P0AB65	yccX b0968 JW5131
bact:ADD_ECOLI	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	uniprot:P22333	add b1623 JW1615
bact:ADEC_ECOLI	Adenine deaminase (Adenase) (Adenine aminase) (EC 3.5.4.2)	uniprot:P31441	ade yicP b3665 JW3640
bact:ADEP_ECOLI	Adenine permease AdeP	uniprot:P31466	adeP purP yieG b3714 JW3692
bact:ADHE_ECOLI	Aldehyde-alcohol dehydrogenase [Includes: Alcohol dehydrogenase (ADH) (EC 1.1.1.1); Acetaldehyde dehydrogenase [acetylating] (ACDH) (EC 1.2.1.10); Pyruvate-formate-lyase deactivase (PFL deactivase)]	uniprot:P0A9Q7	adhE ana b1241 JW1228
bact:ADHP_ECOLI	Alcohol dehydrogenase, propanol-preferring (EC 1.1.1.1)	uniprot:P39451	adhP yddN b1478 JW1474
